Stekelenburg**Maarten;1;3;5
Royen**Heleen;6;8;6
Koeman**Erwin;6;0;1
Geel**Martin;5;1;1
**Shakira;7;7;2
Cocu**Phillip;9;0;26
Gaal**Louis;1;0;4
Cruijff**Johan;8;0;4
Meis**Sylvie;9;11;1
Verbeek**Gertjan;2;1;8
Mol**John;12;11;1
Vries**Jan;3;8;1
Rens**Peter Jan;5;9;13
Bakker**Bas;2;2;2
Wouters**Jan;11;0;7
Brard**Patty;10;10;2
Janssen**Theo;5;2;18
Dijk**Jasper;5;7;2
Teeven**Fred;10;2;1
Koeman**Ronald;2;0;15
Boer**Ronald;4;4;2
Weekers**Frans;10;6;1
Vermeer**Kenneth;0;6;1
Rutten**Fred;4;1;14
Seedorf**Clarence;1;2;1
Overmars**Marc;3;5;1
Barneveld**Raymond;6;4;8
Robben**Arjen;0;0;10
Hiddink**Guus;5;0;1
Ronaldo**Cristiano;2;4;2
Bommel**Mark;3;1;11
Been**Mario;3;6;8
**Madonna;5;12;3
Brom**John;2;3;10
Persie**Robin;0;2;3
Sar**Edwin;4;3;4
Stevens**Huub;3;2;3
Leeuw**Paul;10;11;1
Hilton**Paris;3;9;7
Lurling**Anthony;5;4;4
Bosz**Peter;7;0;2
Meeuwis**Guus;11;10;7
Heitinga**John;0;5;3
Jans**Ron;12;1;3
Joling**Gerard;8;12;2
Advocaat**Dick;4;0;17
Boer**Frank;3;0;33
Basten**Marco;10;0;1
Paay**Patricia;7;9;3
